compagny,country,url
Fruugo.com Limited,GB - UNITED KINGDOM,fruugo.no
Frydendahl Fiskenet A/S,DK - DENMARK,frydendahl.com
FryxGames AB,SE - SWEDEN,fryxgames.se
The Financial Times Limited,GB - UNITED KINGDOM,ft.com/
Function Inc,US - UNITED STATES,functionofbeauty.com/
AZORLD LIMITED,CY - CYPRUS,fungamemob.com
IDERIOL LIMITED,CY - CYPRUS,fungamesme.com
Centiven Limited,GB - UNITED KINGDOM,funguava.com
Skreenback Limited,GB - UNITED KINGDOM,funtonik365.com
FutureLearn Limited,GB - UNITED KINGDOM,futurelearn.com
Forward by Elyse Walker LLC,US - UNITED STATES,fwrd.com/
G-Star Raw eStore B.V.,NL - NETHERLANDS,g-star.com
Instantkeys Limited,HK - HONG KONG,game-deals.com/
Gameforge 4D GmbH,DE - GERMANY,gameforge.com
LEFERA LIMITED,CY - CYPRUS,gamerrush.com
PAVICIAN LIMITED,CY - CYPRUS,gamesrgreat.com
YESTROL LIMITED,CY - CYPRUS,gaminhacks.com
Gamma Entertainment Inc,CA - CANADA,gammae.com
GLOZERIA LIMITED,CY - CYPRUS,gamsfun.com
Garden Glory AB,SE - SWEDEN,gardenglory.com
Garmin (Europe) Ltd,GB - UNITED KINGDOM,garmin.com
Garmin Würzburg GmbH,DE - GERMANY,garmin.de
Interteko AB Surahammar,SE - SWEDEN,garphyttan.com/
Gavlhuset,DK - DENMARK,gavlhuset.dk/
Galleri Brænderigården ApS,DK - DENMARK,gb-h.dk
GEARBEST HONG KONG LIMITED,HK - HONG KONG,gearbest.com
Gedin Studio AB,SE - SWEDEN,gedinstudio.se
Gedin Studio AB,SE - SWEDEN,gedinstudiowebshop.se
Gentle And Rose LTD,BG - BULGARIA,gentleandrose.com/
"Groundspeak, Inc.",US - UNITED STATES,geocaching.com
Getaround SAS,FR - FRANCE,getaround.com/
KIULERN LIMITED,CY - CYPRUS,getelectro247.com
ATRANDILO LIMITED,CY - CYPRUS,getgamesfun.com
EVELEX LIMITED,CY - CYPRUS,getmusicmix.com
SketchBox LLC,US - UNITED STATES,getsketchbox.com
Getty Images International,IE - IRELAND,gettyimages.com
Prairie IT LLC,US - UNITED STATES,getxtra-pc.io
Ghs Garden & Design AB,SE - SWEDEN,ghsgardenanddesign.se
GIANNINI SRL,IT - ITALY,gianninishoponline.com/it/
Virtetic Limited,GB - UNITED KINGDOM,gimmickspree.com
Global-e France SAS,FR - FRANCE,global-e.com
Global-e NL B.V.,NL - NETHERLANDS,global-e.com
Globale U.K. Ltd,GB - UNITED KINGDOM,global-e.com
¿ Global-e US Inc.,US - UNITED STATES,global-e.com
JD Sports Fashion Ltd,GB - UNITED KINGDOM,global.jdsports.com
Catulus Company Limited,HK - HONG KONG,globalpilotshop.com
Globalstar Europe Satelitte Services Ltd,IE - IRELAND,globalstar.com/en-gb
Glorious Games Group AB,SE - SWEDEN,gloriousgamesgroup.com
Glossybox Sweden AB,SE - SWEDEN,glossybox.no
Glossybox Sweden AB,SE - SWEDEN,glossybox.se
Dyreverdenen,DK - DENMARK,gnaververdenen.dk/
"1661, Inc.",US - UNITED STATES,goat.com
GoDaddy Europe Domains Ltd,GB - UNITED KINGDOM,godaddy.com
"GoDaddy.com, LLC",GB - UNITED KINGDOM,godaddy.com
"Media Temple, Inc.",GB - UNITED KINGDOM,godaddy.com
"Wild West Domains, LLC",GB - UNITED KINGDOM,godaddy.com
GOG Sp. z.o.o.,PL - POLAND,gog.com/
Altigi GmbH,DE - GERMANY,goodgamestudios.com/de/
Google Voice Inc,US - UNITED STATES,google.com
Isabell Mayenknecht Strickanleitungen,DE - GERMANY,google.com
AVILASA SANCHO SL,ES - SPAIN,gorrosquirofano.com
IDERIOL LIMITED,CY - CYPRUS,greatmusica.com
Greencats.dk,DK - DENMARK,greencats.dk/
Greenlight Battery Aps,DK - DENMARK,greenlight.dk
Green Man Gaming Limited,GB - UNITED KINGDOM,greenmangaming.com
Media Marketing Scandinavia AB,SE - SWEDEN,greentex.se
Datemig ApS,DK - DENMARK,greitdate.no/
Griffle,DK - DENMARK,griffle.dk
YOUZU GAMES HONGKONG LIMITED,HK - HONG KONG,gtarcade.com
Hairstory Products UK Ltd,GB - UNITED KINGDOM,hairstory.com
Hajk Clothing Sverige AB,SE - SWEDEN,hajkclothing.com
Woodteam Group AB,SE - SWEDEN,handymantools.se
Norhult Sweden AB,SE - SWEDEN,hangmatta.com
H.G.Hannant,GB - UNITED KINGDOM,hannants.co.uk
Happy Socks AB,SE - SWEDEN,happysocks.com
HARLEY DAVIDSON RETAIL B.V.,NL - NETHERLANDS,harley-davidson.com
HATCH Collection,US - UNITED STATES,hatchcollection.com/
HAVE A LOOK ApS,DK - DENMARK,havealook.dk/
HAVE A LOOK ApS,DK - DENMARK,havealook.no/
Askovgaard,DK - DENMARK,havemoebelovertraek.dk
Universal Pictures Subscription,GB - UNITED KINGDOM,hayu.com
"Television Limited
HBO Nordic AB",SE - SWEDEN,hbonordic.com
NULIZAN LIMITED,CY - CYPRUS,hdplay247.com
hearthandsoul ApS,DK - DENMARK,hearthandsoul.dk
Congty TNHH Hearts and Found,VN - VIET NAM,heartsandfound.com
HebeHome,DK - DENMARK,hebehome.dk
Hedens Hørgarn & Moravia,DK - DENMARK,hedenshoergarn@mail.dk
Dalum blæk og hobby,DK - DENMARK,heidishobby.dk
Helinox Europe BV,NL - NETHERLANDS,helinox.eu
Popsoda Ltd,GB - UNITED KINGDOM,hellbunny.com
Hello Baby Ltd,GB - UNITED KINGDOM,hellobabydirect.com
Pbtuma AB,SE - SWEDEN,hemmetshjarta.se
Galleri Brænderigården ApS,DK - DENMARK,hennetec.dk
HETZNER ONLINE GMBH,DE - GERMANY,hetzner.com
K&S Technology Ltd,GB - UNITED KINGDOM,hifiheadphones.co.uk
Dot Com Limited,GG - GUERNSEY,highlandtitles.com
Hihopia,SE - SWEDEN,hihopia.com
Ayisah Sweden AB,SE - SWEDEN,hijabfactory.no
Ayisah Sweden AB,SE - SWEDEN,hijabfactory.se
HISTORLY AB,SE - SWEDEN,historly.se
Medisol BV,NL - NETHERLANDS,hjertestarter-norske.com/
HobbyLink Japan,JP - JAPAN,hlj.com
HOJSTYLING SWEDEN,SE - SWEDEN,hojstyling.se
Taisho ApS,DK - DENMARK,holmtaiki.com
Holst Garn,DK - DENMARK,holstgarn.dk
EG VACATION RENTALS IRELAND,IE - IRELAND,homeaway.co.uk
"LIMITED
HomeAway UK Ltd",GB - UNITED KINGDOM,homeaway.co.uk
HomeAway.com Inc,US - UNITED STATES,homeaway.com
Home Junkie,DK - DENMARK,homejunkie.dk
GLOZERIA LIMITED,CY - CYPRUS,hooplazone.com
Hootsuite Media Inc.,CA - CANADA,hootsuite.com
Horizn Studios GmbH,DE - GERMANY,horizn-studios.com/en/
Hörnan i Strömstad AB,SE - SWEDEN,hornan.com
Hornby Hobbies Limited,GB - UNITED KINGDOM,hornby.com
HostGator.com LLC,US - UNITED STATES,hostgator.com
Prentash Limited,GB - UNITED KINGDOM,hotdealz247.com
HQ Entertainment Network GmbH & Co.,AT - AUSTRIA,hqbill.net
"KG
Steffen Boehm",DE - GERMANY,hrrecords.de
Various Inc.,US - UNITED STATES,http//ffn.com/
Social Online Payments Limited,CY - CYPRUS,http:/badoo.com
Aspiegel Limited,IE - IRELAND,huaweimobileservices.com/
"Humble Bundle, Inc",US - UNITED STATES,humblebundle.com
ENGIVEL,CY - CYPRUS,hutuno.com
Hyrenbostad internetgruppen 2013 AB,SE - SWEDEN,hyrenbostad.se/
Hækleboksen I/S,DK - DENMARK,hækleboksen.dk
Accessory Line International Sweden AB,SE - SWEDEN,høreapparatbatteributikken.no
i1 Adrioli AB,SE - SWEDEN,i1shopy.no
i1 Adrioli AB,SE - SWEDEN,i1shopy.se
ICF Tech EU B.V.,NL - NETHERLANDS,icftech.nl
individual Computers Jens Schönfeld,DE - GERMANY,icomp.de
"GmbH
The Institute Of Electrical and",US - UNITED STATES,ieee.org/index.html?wt.mc_id=hpf_logo
"Electronics Engineers
iGlobal Stores",US - UNITED STATES,iglobal.io
"iHerb, LLC",US - UNITED STATES,iherb.com
Imatech Marin & Industri AB,SE - SWEDEN,imatech.com
"IMDb.com, Inc.",US - UNITED STATES,imdb.com
ATRANDILO LIMITED,CY - CYPRUS,imediabundle.com
Imkey B.V.,NL - NETHERLANDS,imkey.nl
iMusic A/S,DK - DENMARK,imusic.dk
AstorSafaei AB,SE - SWEDEN,indigoshair.se
JEOLIOR LIMITED,CY - CYPRUS,infinitefunstuff.com
ZILOQ LIMITED,CY - CYPRUS,infnite-fun.com
The Danish Pipe Shop Aps,DK - DENMARK,info@danishpipeshop.com
Informa UK Limited,GB - UNITED KINGDOM,informa.com
Inkbox Ink Incorporated,CA - CANADA,inkbox.com
InnoGames GmbH,DE - GERMANY,innogames.com
INSIDEOUT,FR - FRANCE,insideout.fr
Hojka,DK - DENMARK,instagram.com/unikoyarns/
SRENOLI LIMITED,CY - CYPRUS,instantwebwatch.com
Interglas ApS,DK - DENMARK,interglas.dk
InterNations GmbH,DE - GERMANY,internations.org
Internet Q Telecommunication and,GR - GREECE,internetq.com
"Internet Services S.A.
Interyard GmbH",DE - GERMANY,interyard.de
In the Style Fashion Limited,GB - UNITED KINGDOM,inthestyle.com
"iRacing.com Motorsport Simulations, LL",US - UNITED STATES,iracing.com
"C
IRL Digital Ltd",GB - UNITED KINGDOM,irlmerch.com/
Uddevalla Damputstyr AB,SE - SWEDEN,ismokeking.se
Ison Distribution Ltd,GB - UNITED KINGDOM,ison-distribution.com
TAMEXOR LIMITED,CY - CYPRUS,itisfuntime.com
itsmay.dk,DK - DENMARK,itsmay.dk
DOETICAN LIMITED,CY - CYPRUS,jabberfeed.com
Jackson's Art Supplies Ltd,GB - UNITED KINGDOM,jacksonsart.com
Jagex Limited,GB - UNITED KINGDOM,jagex.com
DAVID MANNERS LTD,GB - UNITED KINGDOM,jagspares.co.uk
jajalive,DK - DENMARK,jajalive.com
Japan Crate,US - UNITED STATES,japancrate.com
Sugoi Mart,JP - JAPAN,japancrate.com
Japanese Paper Company,SE - SWEDEN,japanesepapercompany.com
Ib Trading IVS,DK - DENMARK,japebo.dk
Jap Tuning AB,SE - SWEDEN,japtuning.se
AZORLD LIMITED,CY - CYPRUS,jazzrush.com
JDI Backup Limited,GB - UNITED KINGDOM,jdibackup.com
JD Sports Fashion Ltd,GB - UNITED KINGDOM,jdplc.com
JD Williams and Company Limited,GB - UNITED KINGDOM,jdwilliams.co.uk/
Jellycat Limited,GB - UNITED KINGDOM,jellycat.com
Jelon e-trade AB,SE - SWEDEN,jelon.se
Jernhest Sweden AB,SE - SWEDEN,jernhest.se/sv/
Jetcarrier INC,US - UNITED STATES,jetcarrier.com
JH Beauty AB,SE - SWEDEN,jhbeautyshop.com
Jernhest Sweden AB,SE - SWEDEN,jhstore.se/sv/
"Jinx, Inc.",US - UNITED STATES,jinx.com
Jivalo AB,SE - SWEDEN,jivalo.se
Guangzhou Jogon Auto Supplies Co. Ltd,CN - CHINA,jogonautomotive.com
John Craddock Ltd,GB - UNITED KINGDOM,johncraddockltd.co.uk/
Journi GmbH,AT - AUSTRIA,journiapp.com
Juels.dk,DK - DENMARK,juels.dk
Sjöklint Agenturer AB,SE - SWEDEN,juicycouture.se
Jukserei,DE - GERMANY,jukserei.dk/
Jules B Limited,GB - UNITED KINGDOM,julesb.co.uk
Junkyard AB,SE - SWEDEN,junkyard.com
Junkyard AB,SE - SWEDEN,junkyard.no
1705 A/S,DK - DENMARK,justhairclips.no
Babel ApS,DK - DENMARK,justkiss.com
BNC Products,DK - DENMARK,jyskfrisørlager.dk
Kaffekompagniet,DK - DENMARK,kaffekompagniet.com
Lombia Limited,GB - UNITED KINGDOM,kaiawebshop24.com
SMAX Ventures AB,SE - SWEDEN,kamadosumo.se
KAM Racing,GB - UNITED KINGDOM,kamracing.co.uk
Karenmillen.com Limited,GB - UNITED KINGDOM,karenmillen.com
KARMAMIA Copenhagen ApS,DK - DENMARK,karmamiacph.com
Savantini Ltd,GB - UNITED KINGDOM,kegel8.co.uk
Keto Diets UAB,LT - LITHUANIA,ketocycle.diet
Kewsan Textile and more AB,SE - SWEDEN,kewsan.com
KG Import ApS,DK - DENMARK,kgi.dk
Draco Distribution Ltd,GB - UNITED KINGDOM,killstar.com
King.com Limited,MT - MALTA,king.com
Kingbo,DK - DENMARK,kingbo.dk
KingsIsle Entertainment Incorporated,US - UNITED STATES,kingsisle.com
WOERINS LIMITED,CY - CYPRUS,kingvideogame.com
Star Srl,IT - ITALY,klepsoo.com/
Klevgränd Produkter AB,SE - SWEDEN,klevgrand.se
Klitmøller Collective Aps,DK - DENMARK,klitmollercollective.dk
Knitting for Olive ApS,DK - DENMARK,knittingforolive.com
Knitting for Olive ApS,DK - DENMARK,knittingforolive.dk
Bogstags Webbhandel,SE - SWEDEN,knivmaterial.se
NG PARTNERS AB,SE - SWEDEN,kondomvarehuset.no
Kongregate Inc,US - UNITED STATES,kongregate.com
Kopperiet,DK - DENMARK,kopperiet.dk/
Kor Bo AB,SE - SWEDEN,korbo.se
KORK.PL Adam Szczesniak Marek,PL - POLAND,kork24.no/
"Szczesniak s.c.
KreStoffer",DK - DENMARK,krestoffer.dk
UAB Silver Dream,LT - LITHUANIA,kristalai.lt
Sportswear by Matilda & Anna,SE - SWEDEN,kristina@mojatennis.com
DOETICAN LIMITED,CY - CYPRUS,kwivee.com
La Cabra Coffee ApS,DK - DENMARK,lacabra.dk
Lace Laboratory,SE - SWEDEN,lacelaboratory.com/
LadyBalance ApS,DK - DENMARK,ladybalance.dk
LAKOR Soulwear ApS,DK - DENMARK,lakor.dk
Lalaby ApS,DK - DENMARK,lalaby.com
L'amourbox ApS,DK - DENMARK,lamourbox.dk/
LA PASSIONE SRL,IT - ITALY,lapassione.cc
Lapp-Elisa Quilts,SE - SWEDEN,lapp-elisa.com/
Kulla Handel UG haftungsbeschränkt,DE - GERMANY,larp-butikk.com
Laugar of Sweden AB,SE - SWEDEN,laugar.se
LAWA DESIGN,DK - DENMARK,lawadesign.dk
mrkk aps,DK - DENMARK,lednordic.no
Bolig.dk ApS,DK - DENMARK,lejebolig.dk
LennarDigital,NL - NETHERLANDS,lennardigital.com
MOBIO EOOD,BG - BULGARIA,lenormandskort.com
Les Mills Media Limited,NZ - NEW ZEALAND,lesmills.com
Let's deal AB,SE - SWEDEN,letsdeal.no
Virtetic Limited,GB - UNITED KINGDOM,letzhearit.com
Vensa / Leveso,DK - DENMARK,leveso.dk
Nutribrand LTD,GB - UNITED KINGDOM,lifestylevitamins.co.uk
Bengt Märs AB,SE - SWEDEN,lignu.se
Likehome ApS,DK - DENMARK,likehome.dk
Lily Tiger HB,SE - SWEDEN,lilytiger.com/
Linden Research Inc,US - UNITED STATES,lindenlab.com
LINEA G,DK - DENMARK,lineagcph.com
LinkedIn Ireland,IE - IRELAND,linkedin.com
LV Liquids AB,SE - SWEDEN,liquidvoyage.eu/
"Liquid Web, LLC",US - UNITED STATES,liquidweb.com
LiveArena TV Production AB,SE - SWEDEN,livearena.com
QUILDERN LIMITED,CY - CYPRUS,liveplayz.com
QUILDERN LIMITED,CY - CYPRUS,liveplayznow.com
FLOKIAR LIMITED,CY - CYPRUS,liveshopdealz.com
Stiftelsen Livets Ord,SE - SWEDEN,livetsord.se
FloraPren GmbH,DE - GERMANY,lixum.de/
FloraPren GmbH,DE - GERMANY,lixum.no/
LN-CC ITALIA SRL,IT - ITALY,ln-cc.com/en/
Lockenbox UG,DE - GERMANY,lockenbox.com
LogMeIn Ireland Limited,IE - IRELAND,logmein.com
Nordic Edge ApS,DK - DENMARK,lolaramona.com/
Aitos International Ltd,MT - MALTA,lommebokbutikken.no/
Loopia AB,SE - SWEDEN,loopia.se
Ístex hf.,IS - ICELAND,lopidraumur.is/
Fashion Society,DK - DENMARK,lovechild1979.com/
Love Forever AB,SE - SWEDEN,loveforever.se
"iHerb, LLC",US - UNITED STATES,loveletter.iherb.com/
Löwengrip Beauty AB,SE - SWEDEN,lowengrip.com/
Lowwi AB,SE - SWEDEN,lowwi.se
Lucky Health Group Inc,US - UNITED STATES,luckyvitamin.com
Mr-Parts Sweden AB,SE - SWEDEN,luftfjadring24.se/
LUISA VIA ROMA S.P.A.,IT - ITALY,luisaviaroma.com
Luksushund ApS,DK - DENMARK,luksushund.dk
"Lumos Labs, Inc.",US - UNITED STATES,lumosity.com
Luxe Life Ltd,GB - UNITED KINGDOM,luxetokill.com
Avacci Telagio Pvt Ltd,IN - INDIA,luxire.com
Star Srl,IT - ITALY,luxties.com/
LYRA SWIMWEAR,GB - UNITED KINGDOM,lyraswimweaer.com
mrkk aps,DK - DENMARK,lyshygge.dk
Måttefabrikken ApS,DK - DENMARK,maattefabrikken.dk
Mackabler.dk I/S,DK - DENMARK,mackabler.dk
Mackabler.dk I/S,DK - DENMARK,mackabler.no
Macmillan Subscriptions Limited,GB - UNITED KINGDOM,macmillan.com/
MadebyBE,SE - SWEDEN,madebybe.se
Prof Nutrition BV,NL - NETHERLANDS,magminor.com
Magnetz og Magnordic ApS,DK - DENMARK,magnordic.com
The Rocket Science Group,US - UNITED STATES,mailchimp.com
Mainline Menswear Limited,GB - UNITED KINGDOM,mainlinemenswear.co.uk/
Maj-Design,DK - DENMARK,maj-design.dk
Malco AB,SE - SWEDEN,malco.se
Maniere De Voir,GB - UNITED KINGDOM,manieredevoir.com
TERRANOVA SRL,IT - ITALY,mareshop.eu
Markberg ApS,DK - DENMARK,markberg.com
Fezzil Limited,GB - UNITED KINGDOM,martquality4u.com
"Marvel Worldwide, Inc",US - UNITED STATES,marvel.com/comics/unlimited
Massive Media Match NV,BE - BELGIUM,massivemedia.eu/
Match.com Nordic AB,SE - SWEDEN,match.com
The Mathworks AB,SE - SWEDEN,mathworks.com
Mavegant AB,SE - SWEDEN,mavegant.se
Maxton Design Ltd,GB - UNITED KINGDOM,maxtondesign.co.uk
Maya Delorez AB,SE - SWEDEN,mayadelorez.com
MayBeauty LTD,MT - MALTA,maybeauty.no
McAfee Ireland Ltd,IE - IRELAND,mcafee.com
MC Butikken ApS,DK - DENMARK,mcbutikken.dk
Consum-Ex ApS,DK - DENMARK,meatlover.dk
FALIMER LIMITED,CY - CYPRUS,mediadrizzle.com
Silver Diversity Limited,GB - UNITED KINGDOM,medialump.com
RIZENIA LIMITED,CY - CYPRUS,mediamince.com
MediaCom LTD,GB - UNITED KINGDOM,mediaproff.store
AZORLD LIMITED,CY - CYPRUS,mediasoak.com
Media Websolutions B.V.,NL - NETHERLANDS,mediawebsolutionsbv.com
LEFERA LIMITED,CY - CYPRUS,mediaztream.com
Mediconline Sverige AB,SE - SWEDEN,mediconline.no
Mega Limited,NZ - NEW ZEALAND,mega.nz
FESOREX LIMITED,CY - CYPRUS,megabiggiant.com
Serviceklub.dk ApS,DK - DENMARK,megaspar.no
Mehrotra Sthlm AB,SE - SWEDEN,mehrotrasthlm.com/
VELISAR LIMITED,CY - CYPRUS,melodyways.com
Memmo Family AB,SE - SWEDEN,memmo.me
Meotine ApS,DK - DENMARK,meotine.com
Riot Games Ireland Merchandise Limited IE - IRELAND,,merch.riotgames.com/en_gb/
Desto Aps,DK - DENMARK,metermeter.dk
MG Biketec GmbH.,AT - AUSTRIA,mg-biketec.com
TERRANOVA SRL,IT - ITALY,mhzoutdoor.com
DBS Online Limited,GB - UNITED KINGDOM,milled.com/dbs-online-ltd
Milsta Quarterhorse Handelsbolag,SE - SWEDEN,milsta.se
Mimeo Inc,US - UNITED STATES,mimeo.com
Mimmi Kapell AB,SE - SWEDEN,mimmikapell.se
My Best Book ApS,DK - DENMARK,minbestebok.no
Viable Business Group,DK - DENMARK,mindesmykke.dk
Viable Business Group,DK - DENMARK,mindiamant.dk
MineMundbind,DK - DENMARK,minemundbind.dk
Minta ApS,DK - DENMARK,minta.dk
Mirago Media AB,SE - SWEDEN,miragomedia.com
Varadi & Co AB,SE - SWEDEN,miss-candyfloss.com/
Miss Pap UK Limited,GB - UNITED KINGDOM,misspap.com
Mistpool Oy,FI - FINLAND,mistpool.com
GLOZERIA LIMITED,CY - CYPRUS,mixosmelodies.com
Moalem Trading,DK - DENMARK,moalemtrading.com
Mojang AB,SE - SWEDEN,mojang.com
Molenaar Edition B.V.,NL - NETHERLANDS,molenaar.com
EUROSTEP COMMERCE SRL,IT - ITALY,moleskine.com
All Things Commerce Helsinki Oy,FI - FINLAND,moomin.com
Moon Climbing Ltd,GB - UNITED KINGDOM,moonclimbing.com
Moskitofree Norden / M.Åsmundhavn AB SE - SWEDEN,,moskitofree.se
Mötesplatsen i Norden AB,SE - SWEDEN,motesplatsen.se
Ride All Day AB,SE - SWEDEN,motoproworks.com
Mountain Pass Holdings,CA - CANADA,mountainpassperformance.com
Mous Products Ltd,GB - UNITED KINGDOM,mous.co
MSP Emea ApS,DK - DENMARK,moviestarplanet.com
MSP Noa Aps,DK - DENMARK,moviestarplanet.com
Mozy International Limited,IE - IRELAND,mozy.com/#slide-11
MP House a.s.,CZ - CZECH REPUBLIC,mphouse.eu
YOOX NET-A-PORTER GROUP S.P.A.,IT - ITALY,mrporter.com
YESTROL LIMITED,CY - CYPRUS,musicaim.com
JERLINCO LIMITED,CY - CYPRUS,musicgecko.com
FALIMER LIMITED,CY - CYPRUS,musicmixist.com
TAMEXOR LIMITED,CY - CYPRUS,musictunesnow.com
MGL My.com (Cyprus) Limited,CY - CYPRUS,my.com
My.com,NL - NETHERLANDS,my.com
EGOREL LIMITED,CY - CYPRUS,myaudiozone.com
My Daily Choice BV,NL - NETHERLANDS,mydailychoice.com/
Diabetes Solutions UAB,LT - LITHUANIA,mydiabetes.diet/
Serifon Limited,GB - UNITED KINGDOM,myfamlyfun.com
JERLINCO LIMITED,CY - CYPRUS,myfun247.com
VELISAR LIMITED,CY - CYPRUS,mygameblend.com
Gate Ground Limited,GB - UNITED KINGDOM,mygamesfun.com
MyHeritage Ltd.,IL - ISRAEL,myheritage.com
"MyLO Development, LLC",US - UNITED STATES,mylio.com
Glade & Wilberg GbR,DE - GERMANY,myproudmountain.com
Glade & Wilberg GbR,DE - GERMANY,myproudmountainshop.com
MyStone.dk,DK - DENMARK,mystone.dk
MyStone.dk,DK - DENMARK,mystonebrukskunst.no
RIZENIA LIMITED,CY - CYPRUS,mytunesplay.com
"Access USA Shipping, LLC",US - UNITED STATES,myus.com
Nailmania Aps,DK - DENMARK,nailmania.dk
Fashion Society,DK - DENMARK,najalauf.com/
Nasty Gal limited,GB - UNITED KINGDOM,nastygal.com
Nutribrand LTD,GB - UNITED KINGDOM,natren.org.uk
OnlineGruppen,DK - DENMARK,nauticum.shop
Navionics Srl A Socio Unico,IT - ITALY,navionics.com
E-baby A/S,DK - DENMARK,navnesmokken.no
"NBA Properties, Inc.",US - UNITED STATES,nba.com
NBC Sports Gold LLC,US - UNITED STATES,nbcsports.com/gold
Nordic Entertainment Group Sweden AB,SE - SWEDEN,nentgroup.com
Nerdvault.dk,DK - DENMARK,nerdvault.dk/
NERIS Analytics Limited,GB - UNITED KINGDOM,nerisanalytics.com/
Nest Labs (Europe) Ltd,IE - IRELAND,nest.com/
The Net-A-Porter Group Limited,GB - UNITED KINGDOM,net-a-porter.com
Netflix International BV,NL - NETHERLANDS,netflix.com
Netgear International Ltd,IE - IRELAND,netgear.com
Netlens Scandinavia AB,SE - SWEDEN,netlens.no
Netlens Scandinavia AB,SE - SWEDEN,netlens.se
Never Brands AB,SE - SWEDEN,nevermonday.com
Never Not Knit,DK - DENMARK,nevernotknit.dk
New Look Retailers Limited,GB - UNITED KINGDOM,newlook.com/
Nexon America Inc.,US - UNITED STATES,nexon.com
Next Love Limited,MT - MALTA,nextlove.no
NEXWAY SAS,FR - FRANCE,nexway.com/
OverTier Operations,KY - CAYMAN ISLANDS,nflgamepass.com/en
NIBE AB,SE - SWEDEN,nibe.se
Niche Coffee Ltd,GB - UNITED KINGDOM,nichecoffee.co.uk
Nillas Handelsbod i Katrineholm AB,SE - SWEDEN,nillas.se/
Nintendo of Europe GmbH,DE - GERMANY,nintendo.de/
NNG Kft.,HU - HUNGARY,nng.com/
FEELUNIQUE INTERNATIONAL LIMITED GB - UNITED KINGDOM,,no.feelunique.com/
Napster Luxembourg S.a.r.l.,LU - LUXEMBOURG,no.napster.com
LM Noella Fashion IVS,DK - DENMARK,noellafashion.dk/
Nofred,DK - DENMARK,nofred.com
HORVEOT LIMITED,CY - CYPRUS,nonestoptunes.com
Noom Inc,US - UNITED STATES,noom.com
NOOMI Stockholm,SE - SWEDEN,noomistockholm.com
Lind Fjälläventyr AB,SE - SWEDEN,nordicadventure.com
NG PARTNERS AB,SE - SWEDEN,nordicagolf.no
Nordic Balloon and Events ApS (NBE),DK - DENMARK,nordicballoon.com
Nordic Light Sweden AB,SE - SWEDEN,nordiclightvape.com
Nordic Balloon and Events ApS (NBE),DK - DENMARK,nordiclooners.com
Nordicshoepeople,DK - DENMARK,nordicshoepeople.com
Nordic Vet Shop co/Dyrlæge,DK - DENMARK,nordicvetshop.com
"Nordrehaug
nordvpn S.A.",NL - NETHERLANDS,nordvpn.com
Now2New,SE - SWEDEN,norge.wowfator.se
Aluvita UAB,LT - LITHUANIA,norgessigaretten.com
North Star Military Figures Limited,GB - UNITED KINGDOM,northstarfigures.com
NOUROM&DOENVANG,SE - SWEDEN,nourom.com
NSI Holdings LTD,GB - UNITED KINGDOM,nsiholdingsltd.com/
NTH AG,CH - SWITZERLAND,nth.ch
NTH MOBILE LIMITED,MT - MALTA,nth.ch
Happy Three Friends AB,SE - SWEDEN,nudient.no/
Fashion Society,DK - DENMARK,nuenotes.com/
NUORI ApS,DK - DENMARK,nuori.com
Moalem Trading,DK - DENMARK,oakoutdoor.dk
Sea Teach Ltd,GB - UNITED KINGDOM,oceanchandlery.com
Facebook Technologies Ireland Ltd,IE - IRELAND,oculus.com/legal/about-us
Andover Norton International Ltd,GB - UNITED KINGDOM,office@andover-norton.co.uk
Humor Rainbow Inc,US - UNITED STATES,okcupid.com
OLI PRIK,DK - DENMARK,oliprik.dk
OLI PRIK,DK - DENMARK,oliprik.no
Olive Clothing Limited,GB - UNITED KINGDOM,oliveclothing.com
One.com Group AB,SE - SWEDEN,one.com
One97 Communications FZ-LLC,AE - UNITED ARAB,one97.com/
MC Butikken ApS,"EMIRATES
DK - DENMARK",onlineparts.dk
Kryterion Inc,US - UNITED STATES,onlineproctoring.com/
On Location Live,US - UNITED STATES,onlocationlive.com/
Artisan Organic Sweden AB,SE - SWEDEN,organicmakers.se
Organic Socks Of Scandinavia AB,SE - SWEDEN,organicsocks.se
Volkswarenhaus Heussner & Stauber,DE - GERMANY,oryxsolutions.de
"GmbH & Co. KG
Otter Products EMEA",IE - IRELAND,otterbox.ie
Star Srl,IT - ITALY,otticanet.com/
ROLLAND S.R.L.,IT - ITALY,oway.it
DRP Clothing AB,SE - SWEDEN,paapi.se
Paddle Payments Limited,IE - IRELAND,paddle.com
Paddle.Com Market Ltd,GB - UNITED KINGDOM,paddle.com/
paidwings AG,CH - SWITZERLAND,paidwings.com
Hedemann & Boesen ApS,DK - DENMARK,paintersyarn.dk
Palace Skateboards Limited,GB - UNITED KINGDOM,palaceskateboards.com
"PANDA SECURITY, S.L.",ES - SPAIN,pandasecurity.com
PaperDonkey ApS,DK - DENMARK,paperdonkey.com
Paralenz,DK - DENMARK,paralenz.com
Kingbo,DK - DENMARK,paraplybutik.dk
PAY.SUPER LTD,GB - UNITED KINGDOM,pay.super.com/
PayPro Global Inc.,CA - CANADA,payproglobal.com
Paypro Europe Limited,GB - UNITED KINGDOM,payproglobal.com
Pipeline Management - PC-MAC,DK - DENMARK,pc-mac-no.com
